name,position,birthday,hometown,description,history,education,image,gender
Nguyễn Xuân Phúc,Chủ tịch nước,20/7/1954,"Xã Quế Phú, huyện Quế Sơn, tỉnh Quảng Nam","Ngày sinh: 20/7/1954
Quê quán: Xã Quế Phú, huyện Quế Sơn, tỉnh Quảng Nam
Ủy viên Ban Chấp hành Trung ương Đảng các khóa X, XI, XII, XIII; Ủy viên Bộ Chính trị khóa XI, XII, XIII","1997 - 2001
Phó Chủ tịch UBND tỉnh Quảng Nam
2001 - 2006
Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Quảng Nam
3/2006 - 5/2006
Phó Tổng Thanh tra Chính phủ
6/2006 - 8/2007
Phó Chủ nhiệm Văn phòng Chính phủ
8/2007 - 7/2011
Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ
8/2011 - 4/2016
Phó Thủ tướng
4/2016 - 4/2021
Thủ tướng
4/2021 - nay
Chủ tịch nước",Cử nhân Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-xuan-phuc.png,Ông
Võ Thị Ánh Xuân,Phó chủ tịch nước,8/1/1970,"Xã Thới Sơn, huyện Tịnh Biên, tỉnh An Giang","Ngày sinh: 8/1/1970
Quê quán: Xã Thới Sơn, huyện Tịnh Biên, tỉnh An Giang
Ủy viên Trung ương Đảng khóa XI (dự khuyết), XII, XIII","9/1992 - 7/1996
Giáo viên Trường PTTH Mỹ Thới, thị xã Long Xuyên, An Giang
8/1996 - 7/2001
Chuyên viên nghiên cứu tổng hợp, Văn phòng Tỉnh ủy An Giang
8/2001 - 8/2010
Phó Chủ tịch rồi Chủ tịch Hội Liên hiệp Phụ nữ tỉnh An Giang
8/2010 - 10/2010
Phó trưởng Ban Dân vận Tỉnh ủy An Giang
11/2010 - 1/2013
Bí thư Thị ủy Tân Châu, tỉnh An Giang
2/2013 - 11/2013
Phó Chủ tịch UBND tỉnh An Giang
12/2013 - 10/2015
Phó Bí thư Tỉnh ủy An Giang
10/2015 - 4/2021
Bí thư Tỉnh ủy An Giang
4/2021 - nay
Phó chủ tịch nước",Thạc sĩ Luật,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/vo-thi-xuan-anh.png,Bà
Phạm Minh Chính,Thủ tướng,10/12/1958,"Xã Hoa Lộc, huyện Hậu Lộc, tỉnh Thanh Hoá","Ngày sinh: 10/12/1958
Quê quán: Xã Hoa Lộc, huyện Hậu Lộc, tỉnh Thanh Hoá
Ủy viên Trung ương Đảng khóa XI, XII, XIII; Ủy viên Bộ Chính trị khóa XII, XIII; Bí thư Trung ương Đảng khóa XII","9/1977 - 9/1984
Học Đại học Ngoại ngữ Hà Nội; Đại học Xây dựng Bucarest, Rumani
9/1984 - 1/1985
Tốt nghiệp Đại học, chờ tiếp nhận công tác
1/1985 - 8/1987
Cán bộ tình báo Phòng 6, Cục Tình báo thuộc Tổng cục An ninh, Bộ Công an
8/1987 - 1/1989
Cán bộ tình báo Cụm Tình báo phía Nam, Cục Tình báo thuộc Tổng cục An ninh, Bộ Công an 
1/1989 - 1/1990
Cán bộ tình báo Cục Tình báo phía Nam thuộc Tổng cục Tình báo, Bộ Công an
1/1990 - 3/1991
Cán bộ tình báo, Cục Âu Mỹ thuộc Tổng cục Tình báo, Bộ Công an
3/1991 - 11/1994
Cán bộ Bộ Ngoại giao, Bí thư thứ 3, rồi Bí thư thứ 2 Đại sứ quán Việt Nam tại Rumani
11/1994 - 5/1999
Cán bộ tình báo; Phó trưởng phòng Cục Tình báo châu Âu thuộc Tổng cục Tình báo, Bộ Công an
5/1999 - 5/2006
 Phó cục trưởng; Quyền Cục trưởng rồi Cục trưởng Cục Tình báo kinh tế - khoa học công nghệ và môi trường, Tổng cục Tình báo, Bộ Công an
5/2006 - 12/2009
Phó tổng cục trưởng Tổng cục Tình báo phụ trách tình báo kinh tế-khoa học, công nghệ và môi trường, Bộ Công an
12/2009 - 8/2010
Phó tổng cục trưởng phụ trách rồi Tổng cục trưởng Tổng cục Hậu cần - Kỹ thuật, Bộ Công an
8/2010 - 8/2011
Thứ trưởng Công an
8/2011 - 2/2015
Bí thư Tỉnh ủy Quảng Ninh
2/2015 - 1/2016
Phó trưởng Ban Tổ chức Trung ương
2/2016 - 4/2021
 Trưởng Ban Tổ chức Trung ương
4/2021
Thủ tướng","Phó Giáo sư Ngành Khoa học An ninh; Tiến sĩ Luật học Kỹ sư xây dựng dân dụng và công nghiệp, chuyên ngành kết cấu thép",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/pham-minh-chinh.png,Ông
Phạm Bình Minh,Phó Thủ tướng,26/3/1959,"Xã Liên Minh, huyện Vụ Bản, tỉnh Nam Định.","Ngày sinh: 26/3/1959
Quê quán: Xã Liên Minh, huyện Vụ Bản, tỉnh Nam Định.
Ủy viên Trung ương Đảng khóa X, XI, XII, XIII; Ủy viên Bộ Chính trị khóa XII, XIII","10/1981 - 6/1991
Cán bộ Bộ Ngoại giao
6/1991 - 6/1994
Phó Vụ trưởng Vụ Các tổ chức quốc tế, sau đó học thạc sĩ Luật và Ngoại giao tại Trường Fletcher Tuft, Mỹ
6/1994 - 7/1999
Phó vụ trưởng Các tổ chức quốc tế, Bộ Ngoại giao.
8/1999 - 10/2001
Đại sứ, Phó đại diện Thường trực Việt Nam tại Liên Hợp Quốc
10/2001 - 2/2003
Công sứ, Phó đại sứ Việt Nam tại Mỹ
3/2003 - 8/2007
Quyền vụ trưởng, rồi Vụ trưởng Các tổ chức Quốc tế, Bộ Ngoại giao, Trợ lý Bộ trưởng Ngoại giao
8/2007 - 8/2011
Thứ trưởng Ngoại giao
8/2011
Bộ trưởng Ngoại giao
11/2013 - 4/2021
Phó thủ tướng, Bộ trưởng Ngoại giao
4/2021
Phó thủ tướng",Thạc sĩ Luật pháp và Ngoại giao,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/pham-binh-minh.png,Ông
Lê Minh Khái,Phó Thủ tướng,10/12/1964,"Xã Vĩnh Phú Tây, huyện Phước Long, tỉnh Bạc Liêu","Ngày sinh: 10/12/1964
Quê quán: Xã Vĩnh Phú Tây, huyện Phước Long, tỉnh Bạc Liêu
Ủy viên Trung ương Đảng khóa XII, XIII; Ủy viên Ban Bí thư khóa XIII","7/1991 - 7/1995
 Cán bộ, Phó phòng Kế toán Liên hiệp Khoa học sản xuất In - LIKSIN
7/1995 - 3/1996
 Phó văn phòng Trung tâm phát triển Ngoại thương và Đầu tư, TP HCM
3/1996 - 12/1999
 Công tác tại Kiểm toán Nhà nước khu vực phía Nam
12/1999 - 7/2005
 Phó kiểm toán trưởng Kiểm toán Nhà nước khu vực IV (TP HCM)
7/2005 - 3/2007
 Kiểm toán trưởng Kiểm toán Nhà nước Khu vực V (TP Cần Thơ)
3/2007 - 3/2014
 Phó tổng Kiểm toán Nhà nước
3/2014 - 6/2014
 Phó bí thư Tỉnh ủy Bạc Liêu 
6/2014 - 10/2015
 Phó bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Bạc Liêu
10/2015 - 10/2017
 Bí thư Tỉnh ủy Bạc Liêu
10/2017 - 4/2021
 Tổng Thanh tra Chính phủ
4/2021
Phó thủ tướng",Thạc sĩ Kế toán kiểm toán,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-minh-khai.png,Ông
Vũ Đức Đam,Phó Thủ tướng,3/2/1963,"Xã Ngũ Hùng, huyện Thanh Miện, tỉnh Hải Dương","Ngày sinh: 3/2/1963
Quê quán: Xã Ngũ Hùng, huyện Thanh Miện, tỉnh Hải Dương
Ủy viên Trung ương Đảng khóa X (dự khuyết), XI, XII, XIII","10/1988 - 4/1993
 Công tác tại các đơn vị thuộc Tổng cục Bưu điện
4/1993 - 10/1994
 Phó Vụ trưởng Khoa học công nghệ và Hợp tác quốc tế, Tổng cục Bưu điện
10/1994 - 11/1995
 Phó Vụ trưởng Quan hệ quốc tế, Văn phòng Chính phủ
11/1995 - 8/1996
 Quyền Vụ trưởng, Vụ trưởng Vụ ASEAN, Văn phòng Chính phủ
8/1996 - 3/2003
 Thư ký, Trợ lý cố Thủ tướng Võ Văn Kiệt
3/2003 - 8/2005
 Phó chủ tịch UBND tỉnh Bắc Ninh
8/2005 - 11/2007
 Thứ trưởng Bưu chính - Viễn thông
11/2007 - 5/2008
 Phó bí thư Tỉnh ủy Quảng Ninh
5/2008 - 3/2010
 Phó bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Quảng Ninh
3/2010 - 8/2010
 Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Quảng Ninh
8/2010 - 8/2011
 Bí thư Tỉnh ủy Quảng Ninh
8/2011 - 11/2013
 Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ
11/2013 - nay
Phó thủ tướng
10/2019 - 7/2020
 Phó thủ tướng, kiêm nhiệm Bí thư Ban Cán sự Đảng Bộ Y tế",Tiến sĩ Kinh tế thế giới và Quan hệ kinh tế quốc tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/vu-duc-dam.png,Ông
Lê Văn Thành,Phó Thủ tướng,20/10/1962,"Xã Tân Liên, huyện Vĩnh Bảo, TP Hải Phòng","Ngày sinh: 20/10/1962
Quê quán: Xã Tân Liên, huyện Vĩnh Bảo, TP Hải Phòng
Ủy viên Trung ương Đảng khóa XII, XIII","7/2010 - 5/2014
 Phó chủ tịch UBND TP Hải Phòng
5/2014 - 12/2014
 Phó bí thư Thành ủy Hải Phòng
12/2014 - 10/2015
 Phó bí thư Thành ủy; Chủ tịch UBND TP Hải Phòng
10/2015 - 4/2021
 Bí thư Thành ủy; Chủ tịch HĐND TP Hải Phòng
4/2021
Phó thủ tướng",Thạc sĩ Quản lý kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/le-van-thanh.png,Ông
Nguyễn Hồng Diên,Bộ trưởng Công Thương,16/3/1965,"Xã Hồng Minh, huyện Hưng Hà, tỉnh Thái Bình","Ngày sinh: 16/3/1965
Quê quán: Xã Hồng Minh, huyện Hưng Hà, tỉnh Thái Bình
Ủy viên Trung ương Đảng khóa XII, XIII","6/1992 - 2/1996
 Phó bí thư Tỉnh đoàn Thái Bình
3/1996 - 12/2000
 Bí thư tỉnh Đoàn; Trưởng ban Văn hóa-Xã hội HĐND tỉnh; Chủ tịch Hội Liên hiệp thanh niên tỉnh
12/2000 - 3/2003
 Chánh Văn phòng Tỉnh ủy, Trưởng ban Văn hóa-Xã hội HĐND tỉnh Thái Bình
3/2003 - 2/2007
 Bí thư Huyện ủy, Chủ tịch HĐND huyện Vũ Thư, Thái Bình
2/2007 - 10/2010
 Trưởng ban Tuyên giáo Tỉnh ủy Thái Bình
10/2010 - 4/2018
 Phó bí thư Tỉnh ủy Thái Bình
11/2011- 3/2015
Chủ tịch HĐND tỉnh Thái Bình
3/2015 - 7/2018
 Chủ tịch UBND tỉnh Thái Bình
4/2018 - 5/2020
 Bí thư Tỉnh ủy Thái Bình
5/2020 - 4/2021
 Phó trưởng ban Tuyên giáo Trung ương
4/2021
Bộ trưởng Công Thương","Tiến sĩ Quản lý hành chính công, Cử nhân Lịch sử, Cử nhân Kinh tế",https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-hong-dien.png,Ông
Đào Ngọc Dung,"Bộ trưởng Lao động, Thương binh và Xã hội",6/6/1962,"Xã Nhân Mỹ, huyện Lý Nhân, tỉnh Hà Nam","Ngày sinh: 6/6/1962
Quê quán: Xã Nhân Mỹ, huyện Lý Nhân, tỉnh Hà Nam
Ủy viên Trung ương Đảng khóa X, XI, XII, XIII","Trước 1989
Huyện đoàn Lý Nhân, tỉnh Hà Nam Ninh
1989 - 1990
Phó trưởng Ban Công tác thiếu nhi Tỉnh đoàn Hà Nam Ninh
1990-1992
Trưởng ban Tổ chức - Kiểm tra Tỉnh đoàn Hà Nam Ninh rồi tỉnh Nam Hà (sau tách tỉnh), Phó bí thư Tỉnh đoàn
4/1992 - 5/1996
Bí thư Tỉnh đoàn; Phó Trưởng Ban Văn hóa - Xã hội HĐND tỉnh Nam Hà
5/1996 - 11/1996
Trưởng Ban Dân vận; Trưởng Ban Văn hóa-Xã hội HĐND tỉnh Nam Hà
11/1996 - 11/1997
Chủ tịch Hội đồng Đội Trung ương
11/1997 - 3/2005
Bí thư Trung ương Đoàn
4/2005 - 1/2007
Quyền Bí thư thứ nhất Trung ương Đoàn rồi Bí thư thứ nhất Trung ương Đoàn
2/2007 - 8/2007
Bí thư Ban Cán sự Đảng Ngoài nước
8/2007 - 5/2010
Phó trưởng Ban Chỉ đạo Tây Bắc
5/2010 - 10/2010
Phó bí thư Tỉnh ủy Yên Bái 
10/2010 - 8/2011
Bí thư Tỉnh ủy; Chủ tịch HĐND tỉnh Yên Bái 
8/2011 - 4/2016
Bí thư Đảng ủy khối các cơ quan Trung ương
4/2016
Bộ trưởng Lao động, Thương binh và Xã hội",Thạc sĩ Quản lý Hành chính công,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/dao-ngoc-dung.png,Ông
Nguyễn Chí Dũng,Bộ trưởng Kế hoạch và Đầu tư,5/8/1960,"Xã Mai Phụ, huyện Lộc Hà, tỉnh Hà Tĩnh","Ngày sinh: 5/8/1960
Quê quán: Xã Mai Phụ, huyện Lộc Hà, tỉnh Hà Tĩnh
Ủy viên Trung ương Đảng khóa XI, XII, XII","10/1977 - 6/1983
 Chiến sĩ Bộ Tư lệnh Công binh, sinh viên Đại học Giao thông sắt bộ, Hà Nội
10/1983 - 12/1985
 Công tác tại đơn vị thuộc Bộ Tư lệnh Công binh
12/1985 - 10/1989
 Bộ đội biệt phái, chuyên viên Vụ I, Bộ Giao thông vận tải
10/1989 - 7/2003
 Công tác tại Vụ Quản lý Dự án đầu tư nước ngoài, Ủy ban Nhà nước về Hợp tác và Đầu tư (nay là Bộ Kế hoạch và Đầu tư)
7/2003 - 7/2005
 Phó cục trưởng Cục Phát triển doanh nghiệp nhỏ và vừa (nay là Cục Phát triển doanh nghiệp), Bộ Kế hoạch và Đầu tư
7/2005 - 8/2008
 Vụ trưởng Vụ Thương mại và Dịch vụ (nay là Vụ Kinh tế dịch vụ), Bộ Kế hoạch và Đầu tư
8/2008 - 4/2009
 Thứ trưởng Kế hoạch và Đầu tư
4/2009 - 5/2009
 Phó bí thư Tỉnh ủy Ninh Thuận
5/2009 - 9/2010
 Phó bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Ninh Thuận
9/2010 - 6/2011
 Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Ninh Thuận
7/2011 - 1/2014
 Bí thư Tỉnh ủy khóa XII, Chủ tịch HĐND tỉnh Ninh Thuận
1/2014 - 4/2016
 Thứ trưởng Kế hoạch và Đầu tư
4/2016
Bộ trưởng Kế hoạch và Đầu tư",Tiến sĩ Kinh tế,https://s1.vnecdn.net/vnexpress/j/v157/event/longform/thoisu/nhansulanhdaonhanuoc/avatar/nguyen-chi-dung.png,Ông
